0	not_intrinsic
1D7	llvm.nvvm.rcp.rp.ftz.f
1D8	llvm.nvvm.rcp.rz.d
1D9	llvm.nvvm.rcp.rz.f
1DA	llvm.nvvm.rcp.rz.ftz.f
1DB	llvm.nvvm.read.attribute
1DC	llvm.nvvm.read.barycentric.coord
1DD	llvm.nvvm.read.clip.distance
1DE	llvm.nvvm.read.clock64
1DF	llvm.nvvm.read.clock.hi
1E0	llvm.nvvm.read.clock.lo
1E1	llvm.nvvm.read.coverage
1E2	llvm.nvvm.read.ctaid.x
1E3	llvm.nvvm.read.ctaid.y
1E4	llvm.nvvm.read.ctaid.z
1E5	llvm.nvvm.read.fog.coordinate
1E6	llvm.nvvm.read.front.facing
1E7	llvm.nvvm.read.generic.attribute
1E8	llvm.nvvm.read.helper.invocation
1E9	llvm.nvvm.read.inner.coverage
1EA	llvm.nvvm.read.instance.id
1EB	llvm.nvvm.read.invocation.id
1EC	llvm.nvvm.read.isbe
1ED	llvm.nvvm.read.lane.id
1EE	llvm.nvvm.read.mesh.index
1EF	llvm.nvvm.read.mesh.input
1F0	llvm.nvvm.read.mesh.task
1F1	llvm.nvvm.read.nctaid.x
1F2	llvm.nvvm.read.nctaid.y
1F3	llvm.nvvm.read.nctaid.z
1F4	llvm.nvvm.read.ntid.x
1F5	llvm.nvvm.read.ntid.y
1F6	llvm.nvvm.read.ntid.z
1F7	llvm.nvvm.read.output.generic.attribute
1F8	llvm.nvvm.read.output.patch.attribute
1F9	llvm.nvvm.read.pass.count
1FA	llvm.nvvm.read.patch.attribute
1FB	llvm.nvvm.read.point.coord
1FC	llvm.nvvm.read.point.size
1FD	llvm.nvvm.read.position
1FE	llvm.nvvm.read.position.with.sampling.mode
1FF	llvm.nvvm.read.prim.type
200	llvm.nvvm.read.primitive.id
201	llvm.nvvm.read.ptx.sreg.clock
202	llvm.nvvm.read.ptx.sreg.clock64
203	llvm.nvvm.read.ptx.sreg.ctaid.x
204	llvm.nvvm.read.ptx.sreg.ctaid.y
205	llvm.nvvm.read.ptx.sreg.ctaid.z
206	llvm.nvvm.read.ptx.sreg.envreg0
207	llvm.nvvm.read.ptx.sreg.envreg1
208	llvm.nvvm.read.ptx.sreg.envreg10
209	llvm.nvvm.read.ptx.sreg.envreg11
20A	llvm.nvvm.read.ptx.sreg.envreg12
20B	llvm.nvvm.read.ptx.sreg.envreg13
20C	llvm.nvvm.read.ptx.sreg.envreg14
20D	llvm.nvvm.read.ptx.sreg.envreg15
20E	llvm.nvvm.read.ptx.sreg.envreg16
20F	llvm.nvvm.read.ptx.sreg.envreg17
210	llvm.nvvm.read.ptx.sreg.envreg18
211	llvm.nvvm.read.ptx.sreg.envreg19
212	llvm.nvvm.read.ptx.sreg.envreg2
213	llvm.nvvm.read.ptx.sreg.envreg20
214	llvm.nvvm.read.ptx.sreg.envreg21
215	llvm.nvvm.read.ptx.sreg.envreg22
216	llvm.nvvm.read.ptx.sreg.envreg23
217	llvm.nvvm.read.ptx.sreg.envreg24
218	llvm.nvvm.read.ptx.sreg.envreg25
219	llvm.nvvm.read.ptx.sreg.envreg26
21A	llvm.nvvm.read.ptx.sreg.envreg27
21B	llvm.nvvm.read.ptx.sreg.envreg28
21C	llvm.nvvm.read.ptx.sreg.envreg29
21D	llvm.nvvm.read.ptx.sreg.envreg3
21E	llvm.nvvm.read.ptx.sreg.envreg30
21F	llvm.nvvm.read.ptx.sreg.envreg31
220	llvm.nvvm.read.ptx.sreg.envreg4
221	llvm.nvvm.read.ptx.sreg.envreg5
222	llvm.nvvm.read.ptx.sreg.envreg6
223	llvm.nvvm.read.ptx.sreg.envreg7
224	llvm.nvvm.read.ptx.sreg.envreg8
225	llvm.nvvm.read.ptx.sreg.envreg9
226	llvm.nvvm.read.ptx.sreg.laneid
227	llvm.nvvm.read.ptx.sreg.nctaid.x
228	llvm.nvvm.read.ptx.sreg.nctaid.y
229	llvm.nvvm.read.ptx.sreg.nctaid.z
22A	llvm.nvvm.read.ptx.sreg.ntid.x
22B	llvm.nvvm.read.ptx.sreg.ntid.y
22C	llvm.nvvm.read.ptx.sreg.ntid.z
22D	llvm.nvvm.read.ptx.sreg.tid.x
22E	llvm.nvvm.read.ptx.sreg.tid.y
22F	llvm.nvvm.read.ptx.sreg.tid.z
230	llvm.nvvm.read.ptx.sreg.warpsize
231	llvm.nvvm.read.render.target.array.index
232	llvm.nvvm.read.sample.count
233	llvm.nvvm.read.sample.id
234	llvm.nvvm.read.shading.rate
235	llvm.nvvm.read.sreg
236	llvm.nvvm.read.tess.eval.point
237	llvm.nvvm.read.tess.inner
238	llvm.nvvm.read.tess.outer
239	llvm.nvvm.read.tid.x
23A	llvm.nvvm.read.tid.y
23B	llvm.nvvm.read.tid.z
23C	llvm.nvvm.read.vertex.id
23D	llvm.nvvm.read.view.id
23E	llvm.nvvm.read.viewport.index
23F	llvm.nvvm.read.viewport.mask
240	llvm.nvvm.read.vreg
241	llvm.nvvm.read.warp.size
242	llvm.nvvm.reflect
243	llvm.nvvm.rotate
244	llvm.nvvm.rotate.b32
245	llvm.nvvm.rotate.b64
246	llvm.nvvm.rotate.right.b64
247	llvm.nvvm.round.d
248	llvm.nvvm.round.f
249	llvm.nvvm.round.ftz.f
24A	llvm.nvvm.rsqrt.approx
24B	llvm.nvvm.rsqrt.approx.d
24C	llvm.nvvm.rsqrt.approx.f
24D	llvm.nvvm.rsqrt.approx.ftz.f
24E	llvm.nvvm.rsqrt.approx.ftz.f32
24F	llvm.nvvm.rsqrt.approx.ftz.f64
250	llvm.nvvm.sad.i
251	llvm.nvvm.sad.ll
252	llvm.nvvm.sad.s
253	llvm.nvvm.sad.s.i32
254	llvm.nvvm.sad.u.i32
255	llvm.nvvm.sad.ui
256	llvm.nvvm.sad.ull
257	llvm.nvvm.sad.us
258	llvm.nvvm.saturate
259	llvm.nvvm.saturate.d
25A	llvm.nvvm.saturate.f
25B	llvm.nvvm.saturate.ftz.f
25C	llvm.nvvm.saturate.ftz.f32
25D	llvm.nvvm.shfl.i32
25E	llvm.nvvm.shfl.sync.i32
25F	llvm.nvvm.sin.approx
260	llvm.nvvm.sin.approx.f
261	llvm.nvvm.sin.approx.ftz.f
262	llvm.nvvm.sin.approx.ftz.f32
263	llvm.nvvm.sparse.load
264	llvm.nvvm.sparse.surface.load
265	llvm.nvvm.sparse.surface.load.cbank
266	llvm.nvvm.sparse.tex.fetch
267	llvm.nvvm.sparse.tex.fetch.compare
268	llvm.nvvm.sparse.tex.fetch.compare.grad
269	llvm.nvvm.sparse.tex.fetch.compare.grad.offset
26A	llvm.nvvm.sparse.tex.fetch.compare.offset
26B	llvm.nvvm.sparse.tex.fetch.grad
26C	llvm.nvvm.sparse.tex.fetch.grad.offset
26D	llvm.nvvm.sparse.tex.fetch.offset
26E	llvm.nvvm.sparse.tex.fetch.proj
26F	llvm.nvvm.sparse.tex.fetch.proj.compare
270	llvm.nvvm.sparse.tex.fetch.proj.compare.grad
271	llvm.nvvm.sparse.tex.fetch.proj.compare.grad.offset
272	llvm.nvvm.sparse.tex.fetch.proj.compare.offset
273	llvm.nvvm.sparse.tex.fetch.proj.grad
274	llvm.nvvm.sparse.tex.fetch.proj.grad.offset
275	llvm.nvvm.sparse.tex.fetch.proj.offset
276	llvm.nvvm.sparse.tex.gather
277	llvm.nvvm.sparse.tex.gather.compare
278	llvm.nvvm.sparse.tex.gather.compare.offset
279	llvm.nvvm.sparse.tex.gather.compare.offset.sampling
27A	llvm.nvvm.sparse.tex.gather.offset
27B	llvm.nvvm.sparse.tex.gather.offset.sampling
27C	llvm.nvvm.sparse.tex.load
27D	llvm.nvvm.sparse.tex.load.offset
27E	llvm.nvvm.sqrt
27F	llvm.nvvm.sqrt.approx
280	llvm.nvvm.sqrt.approx.f
281	llvm.nvvm.sqrt.approx.ftz.f
282	llvm.nvvm.sqrt.approx.ftz.f32
283	llvm.nvvm.sqrt.f
284	llvm.nvvm.sqrt.ftz.f32
285	llvm.nvvm.sqrt.rm.d
286	llvm.nvvm.sqrt.rm.f
287	llvm.nvvm.sqrt.rm.ftz.f
288	llvm.nvvm.sqrt.rn.d
289	llvm.nvvm.sqrt.rn.f
28A	llvm.nvvm.sqrt.rn.ftz.f
28B	llvm.nvvm.sqrt.rp.d
28C	llvm.nvvm.sqrt.rp.f
28D	llvm.nvvm.sqrt.rp.ftz.f
28E	llvm.nvvm.sqrt.rz.d
28F	llvm.nvvm.sqrt.rz.f
290	llvm.nvvm.sqrt.rz.ftz.f
291	llvm.nvvm.store
292	llvm.nvvm.sub
293	llvm.nvvm.sub.ftz.f32
294	llvm.nvvm.sub.sat.s
295	llvm.nvvm.sub.sat.u
296	llvm.nvvm.sub.u.i128
297	llvm.nvvm.suld.1d.array.i16.clamp
