25C	INT_PTX_ATOM_CAS_GEN_32p32imm3
25D	INT_PTX_ATOM_CAS_GEN_32p32reg
25E	INT_PTX_ATOM_CAS_GEN_32p64imm1
25F	INT_PTX_ATOM_CAS_GEN_32p64imm2
260	INT_PTX_ATOM_CAS_GEN_32p64imm3
261	INT_PTX_ATOM_CAS_GEN_32p64reg
262	INT_PTX_ATOM_CAS_GEN_64p32imm1
263	INT_PTX_ATOM_CAS_GEN_64p32imm2
264	INT_PTX_ATOM_CAS_GEN_64p32imm3
265	INT_PTX_ATOM_CAS_GEN_64p32reg
266	INT_PTX_ATOM_CAS_GEN_64p64imm1
267	INT_PTX_ATOM_CAS_GEN_64p64imm2
268	INT_PTX_ATOM_CAS_GEN_64p64imm3
269	INT_PTX_ATOM_CAS_GEN_64p64reg
26A	INT_PTX_ATOM_CAS_G_16p32imm1
26B	INT_PTX_ATOM_CAS_G_16p32imm2
26C	INT_PTX_ATOM_CAS_G_16p32imm3
26D	INT_PTX_ATOM_CAS_G_16p32reg
26E	INT_PTX_ATOM_CAS_G_16p64imm1
26F	INT_PTX_ATOM_CAS_G_16p64imm2
270	INT_PTX_ATOM_CAS_G_16p64imm3
271	INT_PTX_ATOM_CAS_G_16p64reg
272	INT_PTX_ATOM_CAS_G_32p32imm1
273	INT_PTX_ATOM_CAS_G_32p32imm2
274	INT_PTX_ATOM_CAS_G_32p32imm3
275	INT_PTX_ATOM_CAS_G_32p32reg
276	INT_PTX_ATOM_CAS_G_32p64imm1
277	INT_PTX_ATOM_CAS_G_32p64imm2
278	INT_PTX_ATOM_CAS_G_32p64imm3
279	INT_PTX_ATOM_CAS_G_32p64reg
27A	INT_PTX_ATOM_CAS_G_64p32imm1
27B	INT_PTX_ATOM_CAS_G_64p32imm2
27C	INT_PTX_ATOM_CAS_G_64p32imm3
27D	INT_PTX_ATOM_CAS_G_64p32reg
27E	INT_PTX_ATOM_CAS_G_64p64imm1
27F	INT_PTX_ATOM_CAS_G_64p64imm2
280	INT_PTX_ATOM_CAS_G_64p64imm3
281	INT_PTX_ATOM_CAS_G_64p64reg
282	INT_PTX_ATOM_CAS_S_16p32imm1
283	INT_PTX_ATOM_CAS_S_16p32imm2
284	INT_PTX_ATOM_CAS_S_16p32imm3
285	INT_PTX_ATOM_CAS_S_16p32reg
286	INT_PTX_ATOM_CAS_S_16p64imm1
287	INT_PTX_ATOM_CAS_S_16p64imm2
288	INT_PTX_ATOM_CAS_S_16p64imm3
289	INT_PTX_ATOM_CAS_S_16p64reg
28A	INT_PTX_ATOM_CAS_S_32p32imm1
28B	INT_PTX_ATOM_CAS_S_32p32imm2
28C	INT_PTX_ATOM_CAS_S_32p32imm3
28D	INT_PTX_ATOM_CAS_S_32p32reg
28E	INT_PTX_ATOM_CAS_S_32p64imm1
28F	INT_PTX_ATOM_CAS_S_32p64imm2
290	INT_PTX_ATOM_CAS_S_32p64imm3
291	INT_PTX_ATOM_CAS_S_32p64reg
292	INT_PTX_ATOM_CAS_S_64p32imm1
293	INT_PTX_ATOM_CAS_S_64p32imm2
294	INT_PTX_ATOM_CAS_S_64p32imm3
295	INT_PTX_ATOM_CAS_S_64p32reg
296	INT_PTX_ATOM_CAS_S_64p64imm1
297	INT_PTX_ATOM_CAS_S_64p64imm2
298	INT_PTX_ATOM_CAS_S_64p64imm3
299	INT_PTX_ATOM_CAS_S_64p64reg
29A	INT_PTX_ATOM_GEN_32p32imm
29B	INT_PTX_ATOM_GEN_32p32reg
29C	INT_PTX_ATOM_GEN_32p64imm
29D	INT_PTX_ATOM_GEN_32p64reg
29E	INT_PTX_ATOM_GEN_64p32imm
29F	INT_PTX_ATOM_GEN_64p32reg
2A0	INT_PTX_ATOM_GEN_64p64imm
2A1	INT_PTX_ATOM_GEN_64p64reg
2A2	INT_PTX_ATOM_GEN_F32p32imm
2A3	INT_PTX_ATOM_GEN_F32p32reg
2A4	INT_PTX_ATOM_GEN_F32p64imm
2A5	INT_PTX_ATOM_GEN_F32p64reg
2A6	INT_PTX_ATOM_GEN_F64p32imm
2A7	INT_PTX_ATOM_GEN_F64p32reg
2A8	INT_PTX_ATOM_GEN_F64p64imm
2A9	INT_PTX_ATOM_GEN_F64p64reg
2AA	INT_PTX_ATOM_G_32p32imm
2AB	INT_PTX_ATOM_G_32p32reg
2AC	INT_PTX_ATOM_G_32p64imm
2AD	INT_PTX_ATOM_G_32p64reg
2AE	INT_PTX_ATOM_G_64p32imm
2AF	INT_PTX_ATOM_G_64p32reg
2B0	INT_PTX_ATOM_G_64p64imm
2B1	INT_PTX_ATOM_G_64p64reg
2B2	INT_PTX_ATOM_G_F32p32imm
